Models,Parameters,Split,Accuracy,Recall,AUC,F1,precision at0.05
RF,"{'n_estimators': 10, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 20}",1,0.997733333333,0.985315712188,0.992220781824,0.983390327308,0.981472452462
RF,"{'n_estimators': 10, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 20}",1,0.998266666667,0.990210474792,0.99606725075,0.987310883358,0.993100049285
RF,"{'n_estimators': 10, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 20}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 50}",1,0.998433333333,0.990699951052,0.994849206488,0.988522588523,0.986354775828
RF,"{'n_estimators': 10, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 50}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 50}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 50}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 50}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 50}",1,0.998,0.982868330886,0.992051967928,0.985279685967,0.99012345679
RF,"{'n_estimators': 10, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 50}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 50}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 50}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 50}",1,1.0,1.0,1.0,1.0,1.0
